time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl
1631,1,1,2048,,,,,,,,,,
1064,2,3,4096,-0.006486118376778904,0.00025,0.2,20.97943687438965,0.010549485683441162,116.71413621902465,10,-1.3798490956425666,0.046142578125,0.011923536
967,3,6,6144,-0.015353283191507217,0.00025,0.2,39.86749267578125,-0.004930853843688965,88.02230906486511,20,-1.3380198813974857,0.18466796875,0.017613374
692,4,11,8192,-0.02082678324659355,0.00025,0.2,34.48062515258789,0.007149875164031982,83.8063728570938,30,-1.28383948802948,0.295068359375,0.016020194
549,5,18,10240,-0.024979497790627646,0.00025,0.2,17.682968139648438,0.33996838331222534,42.59011012911797,40,-1.2025277972221375,0.26591796875,0.015392188
482,6,25,12288,-0.01291137929802062,0.00025,0.2,14.69190788269043,0.42846161127090454,31.03876954317093,50,-1.2054517958313227,0.094482421875,0.0108603705
446,7,32,14336,-0.015428068820619955,0.00025,0.2,15.868202209472656,0.42142051458358765,33.78324231505394,60,-1.2387850526720285,0.1291015625,0.010874035
452,8,36,16384,-0.01850401598640019,0.00025,0.2,15.404699325561523,0.2734455466270447,26.54854474067688,70,-1.2004206378012896,0.1423828125,0.014423143
473,9,38,18432,-0.01677943386603147,0.00025,0.2,11.42719841003418,0.14791834354400635,20.17123800814152,80,-1.147943102568388,0.106494140625,0.0154834315
488,10,41,20480,-0.014101666724309325,0.00025,0.2,6.853781223297119,-0.22440624237060547,17.642066568136215,90,-1.1157717490568757,0.0875,0.012889702
501,11,44,22528,-0.011186173489841167,0.00025,0.2,3.191732168197632,-0.15943145751953125,15.173165895044804,100,-1.1177883129566908,0.053564453125,0.015431025
515,12,47,24576,-0.008125523540365975,0.00025,0.2,5.9133076667785645,-0.013859987258911133,17.673425063490868,110,-1.053163598291576,0.045654296875,0.009748037
526,13,50,26624,-0.004684676612669136,0.00025,0.2,2.9817423820495605,0.2881684899330139,11.142724557220935,120,-1.0393045419827103,0.022998046875,0.0058606393
512,14,55,28672,-0.014809984798193909,0.00025,0.2,3.391221046447754,0.716081976890564,6.765960627049208,130,-1.0187008967623115,0.09375,0.010677903
487,15,63,30720,-0.005784827531897463,0.00025,0.2,1.6732150316238403,0.8663639426231384,4.859686856716872,140,-1.0024162927642464,0.04248046875,0.0068606827
468,16,69,32768,-0.007359442166489316,0.00025,0.2,3.2690389156341553,0.8943536281585693,5.017794574052095,150,-0.933368200995028,0.04638671875,0.0065758307
453,17,76,34816,-0.008734370084130205,0.00025,0.2,1.9750653505325317,0.9253631234169006,4.2557456776499745,160,-0.9060825236141682,0.068798828125,0.006441662
440,18,83,36864,-0.010226158835575917,0.00025,0.2,0.8635269403457642,0.9578210115432739,2.46122355684638,170,-0.8882255950942636,0.079736328125,0.010986506
430,19,90,38912,-0.009830170370696579,0.00025,0.2,1.080002784729004,0.9542446732521057,3.0555861704051495,180,-0.84901380892843,0.08232421875,0.009827837
421,20,97,40960,-0.009482595702866092,0.00025,0.2,0.6529608964920044,0.9709488153457642,2.0178587645292283,190,-0.7963638676330447,0.0796875,0.009386674
413,21,103,43008,-0.005493249506980646,0.00025,0.2,0.6284181475639343,0.9781672954559326,1.6046237042173743,200,-0.7426490265876055,0.04345703125,0.0060885604
406,22,110,45056,-0.005827388840407366,0.00025,0.2,1.744943380355835,0.9750608801841736,2.1878264965489507,210,-0.7040659505873919,0.047802734375,0.0066852416
400,23,117,47104,-0.002022845100145787,0.00025,0.2,0.5223288536071777,0.9798601865768433,1.7340745374560356,220,-0.6561887426301837,0.0208984375,0.0037102548
394,24,124,49152,-0.00778267121349927,0.00025,0.2,0.5824160575866699,0.9837117791175842,1.5814787965267896,230,-0.6423084693029523,0.076123046875,0.006330508
389,25,131,51200,-0.004467067671066615,0.00025,0.2,0.6726952791213989,0.9876725673675537,1.234724824875593,240,-0.5919182557612658,0.056494140625,0.00617503
384,26,138,53248,-0.004550306344754063,0.00025,0.2,0.7174698710441589,0.982224702835083,1.6105088556185365,250,-0.5519349230453372,0.0587890625,0.0050654965
381,27,145,55296,-0.003941189435136039,0.00025,0.2,0.5098264813423157,0.9906282424926758,0.8592420371249319,260,-0.533759355545044,0.067919921875,0.005735243
377,28,151,57344,-0.004063641717220889,0.00025,0.2,1.225311517715454,0.9861674904823303,1.4690917260944842,270,-0.5052941636182368,0.0421875,0.0053558284
374,29,158,59392,-0.005349676955665928,0.00025,0.2,0.4372296631336212,0.9881780743598938,1.266820264235139,280,-0.47133319471031426,0.052099609375,0.004654514
371,30,165,61440,-0.0034201691843918523,0.00025,0.2,0.5005948543548584,0.9920797944068909,0.8585877215489746,290,-0.4600200464017689,0.0421875,0.0041908477
368,31,172,63488,-0.00373432273772778,0.00025,0.2,0.2799760103225708,0.9926416873931885,0.802435708604753,300,-0.44001656789332627,0.059228515625,0.0057560084
366,32,179,65536,-0.004754736385075375,0.00025,0.2,0.24791434407234192,0.9939955472946167,0.6708472611382603,310,-0.42139026913791894,0.0796875,0.007915168
363,33,185,67584,-0.002829618557007052,0.00025,0.2,0.46477949619293213,0.994371771812439,0.651309373602271,320,-0.41372466096654537,0.0416015625,0.0030912813
360,34,193,69632,-0.002303017835947685,0.00025,0.2,0.3345332145690918,0.9938419461250305,0.7167765722610057,330,-0.40617353450506927,0.04033203125,0.0033322219
358,35,200,71680,-0.0033446598506998272,0.00025,0.2,0.20711052417755127,0.9946370124816895,0.6388371185399592,340,-0.3844489585608244,0.050439453125,0.0032784864
355,36,207,73728,-0.002373125035956036,0.00025,0.2,0.5604653358459473,0.9918343424797058,0.929011941421777,350,-0.35487421257421375,0.0474609375,0.0034449063
